timestamp,total
"20180605_1440",2714
"20180605_1441",2708
"20180605_1442",2612
"20180605_1443",2819
"20180605_1444",2819
"20180605_1445",2853
"20180605_1446",2774
"20180605_1447",2794
"20180605_1448",2617
"20180605_1449",2759
"20180605_1450",2757
"20180605_1451",2806
"20180605_1452",2787
"20180605_1453",2773
"20180605_1454",2899
"20180605_1455",2772
"20180605_1456",2894
"20180605_1457",2793
"20180605_1458",2745
"20180605_1459",2795
"20180605_1500",2864
"20180605_1501",2862
"20180605_1502",2853
"20180605_1503",2807
"20180605_1504",2907
"20180605_1505",2812
"20180605_1506",2861
"20180605_1507",2901
"20180605_1508",2819
"20180605_1509",2848
"20180605_1510",2840
"20180605_1511",2886
"20180605_1512",2838
"20180605_1513",2848
"20180605_1514",2893
"20180605_1515",2956
"20180605_1516",2838
"20180605_1517",2822
"20180605_1518",2788
"20180605_1519",2626
"20180605_1520",2455
"20180605_1521",2386
"20180605_1522",2570
"20180605_1523",2450
"20180605_1524",2448
"20180605_1525",2503
"20180605_1526",2435
"20180605_1527",2535
"20180605_1528",2497
"20180605_1529",2482
"20180605_1530",2840
"20180605_1531",2744
"20180605_1532",2590
"20180605_1533",2629
"20180605_1534",2652
"20180605_1535",2622
"20180605_1536",2673
"20180605_1537",2577
"20180605_1538",2683
"20180605_1539",2676
"20180605_1540",2676
"20180605_1541",2719
"20180605_1542",2710
"20180605_1543",2713
"20180605_1544",2761
"20180605_1545",2688
"20180605_1546",2694
"20180605_1547",2764
"20180605_1548",2702
"20180605_1549",2837
"20180605_1550",2848
"20180605_1551",2796
"20180605_1552",2971
"20180605_1553",2898
"20180605_1554",2809
"20180605_1555",2855
"20180605_1556",2831
"20180605_1557",2954
"20180605_1558",3413
"20180605_1559",3128
"20180605_1600",3155
"20180605_1601",3200
"20180605_1602",3250
"20180605_1603",3093
"20180605_1604",3219
"20180605_1605",3170
"20180605_1606",3245
"20180605_1607",3161
"20180605_1608",3169
"20180605_1609",3133
"20180605_1610",3093
"20180605_1611",3213
"20180605_1612",3150
"20180605_1613",3216
"20180605_1614",3159
"20180605_1615",3116
"20180605_1616",3204
"20180605_1617",3147
"20180605_1618",3220
"20180605_1619",3272
"20180605_1620",3117
"20180605_1621",3195
"20180605_1622",3167
"20180605_1623",3234
"20180605_1624",3191
"20180605_1625",3063
"20180605_1626",3270
"20180605_1627",3110
"20180605_1628",3305
"20180605_1629",3148
"20180605_1630",3187
"20180605_1631",3094
"20180605_1632",3216
"20180605_1633",3240
"20180605_1634",3319
"20180605_1635",3216
"20180605_1636",3161
"20180605_1637",3325
"20180605_1638",3325
"20180605_1639",3300
"20180605_1640",3284
"20180605_1641",3230
"20180605_1642",3189
"20180605_1643",3243
"20180605_1644",3250
"20180605_1645",3256
"20180605_1646",3177
"20180605_1647",3182
"20180605_1648",3297
"20180605_1649",3333
"20180605_1650",3338
"20180605_1651",3391
"20180605_1652",3287
"20180605_1653",3369
"20180605_1654",3361
"20180605_1655",3313
"20180605_1656",3280
"20180605_1657",3386
"20180605_1658",3272
"20180605_1659",3384
"20180605_1700",3377
"20180605_1701",3439
"20180605_1702",3272
"20180605_1703",3610
"20180605_1704",3473
"20180605_1705",3459
"20180605_1706",3507
"20180605_1707",3628
"20180605_1708",3465
"20180605_1709",3429
"20180605_1710",3381
"20180605_1711",3563
"20180605_1712",3390
"20180605_1713",3681
"20180605_1714",3543
"20180605_1715",3482
"20180605_1716",3541
"20180605_1717",3522
"20180605_1718",3509
"20180605_1719",3424
"20180605_1720",3405
"20180605_1721",3588
"20180605_1722",3548
"20180605_1723",3529
"20180605_1724",3637
"20180605_1725",3600
"20180605_1726",3568
"20180605_1727",3510
"20180605_1728",3445
"20180605_1729",3657
"20180605_1730",3610
"20180605_1731",3540
"20180605_1732",3487
"20180605_1733",3570
"20180605_1734",3700
"20180605_1735",3567
"20180605_1736",3635
"20180605_1737",3680
"20180605_1738",3724
"20180605_1739",3602
"20180605_1740",3559
"20180605_1741",3588
"20180605_1742",3604
"20180605_1743",3636
"20180605_1744",3645
"20180605_1745",3603
"20180605_1746",3464
"20180605_1747",3656
"20180605_1748",3482
"20180605_1749",3575
"20180605_1750",3511
"20180605_1751",3480
"20180605_1752",3450
"20180605_1753",3529
"20180605_1754",3376
"20180605_1755",3402
"20180605_1756",3609
"20180605_1757",3455
"20180605_1758",3504
"20180605_1759",3444
"20180605_1800",3305
"20180605_1801",3282
"20180605_1802",3261
"20180605_1803",3374
"20180605_1804",3450
"20180605_1805",3327
"20180605_1806",3278
"20180605_1807",3333
"20180605_1808",3377
"20180605_1809",3288
"20180605_1810",3386
"20180605_1811",3331
"20180605_1812",3372
"20180605_1813",3277
